Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
2618, GP09-299906, US Patent    Hoya Corp. (J), 2010, A0317507, 40.0, 1.39, , , 1.38, 4.14, 13.78, 6.21, 2.75, , , , , 11.04, , 4.14, , 1.84044
2619, GP09-299907, US Patent    Hoya Corp. (J), 2010, A0317507, 40.27, 1.38, , , 1.4, 2.78, 13.89, 6.94, 2.78, , , , , 11.11, , 4.17, , 1.83787
2620, GP09-299908, US Patent    Hoya Corp. (J), 2010, A0317507, 40.55, 1.4, , , 1.4, 1.4, 13.98, 7.69, 2.8, , , , , 11.19, , 4.2, , 1.83512
2621, GP09-299909, US Patent    Hoya Corp. (J), 2010, A0317507, 40.01, 1.37, , , 1.38, 1.38, 6.91, 7.58, 7.59, , , , , 12.41, , 4.13, , 1.8307
2622, GP09-299910, US Patent    Hoya Corp. (J), 2010, A0317507, 40.01, 1.38, , , 1.37, 1.38, 1.37, 7.59, 13.11, , , , , 12.41, , 4.13, , 1.80389
2623, GP09-299911, US Patent    Hoya Corp. (J), 2010, A0317507, 39.72, 1.38, , , 1.36, 1.37, 6.17, 7.53, 7.54, , , , , 13.7, , 4.11, , 1.83585
2624, GP09-299912, US Patent    Hoya Corp. (J), 2010, A0317507, 40.01, 1.37, , , 1.38, 1.38, 7.58, 7.58, 6.89, , , , , 13.8, , 2.76, , 1.83588
2625, GP09-299913, US Patent    Hoya Corp. (J), 2010, A0317507, 40.28, 1.39, , , 1.4, 1.39, 6.95, 7.64, 7.63, , , , , 11.1, , 4.17, , 1.83013
2626, GP09-299914, US Patent    Hoya Corp. (J), 2010, A0317507, 39.98, 1.38, , , 1.38, 1.38, 6.2, 7.58, 7.58, , , , , 12.41, , 4.14, , 1.83893
2627, GP09-300084, European Patent    Hoya Corp. (J), 2010, A2243748, 39.73, 1.36, , , 1.37, 6.17, 13.69, 5.47, 2.74, , , , , 10.96, , 4.11, , 1.84161
2628, GP09-300085, European Patent    Hoya Corp. (J), 2010, A2243748, 40.0, 1.39, , , 1.38, 4.14, 13.78, 6.21, 2.75, , , , , 11.04, , 4.14, , 1.84044
2629, GP09-300086, European Patent    Hoya Corp. (J), 2010, A2243748, 40.27, 1.38, , , 1.4, 2.78, 13.89, 6.94, 2.78, , , , , 11.11, , 4.17, , 1.83787
2630, GP09-300087, European Patent    Hoya Corp. (J), 2010, A2243748, 40.55, 1.4, , , 1.4, 1.4, 13.98, 7.69, 2.8, , , , , 11.19, , 4.2, , 1.83512
2631, GP09-300088, European Patent    Hoya Corp. (J), 2010, A2243748, 40.01, 1.37, , , 1.38, 1.38, 6.91, 7.58, 7.59, , , , , 12.41, , 4.13, , 1.8307
2632, GP09-300089, European Patent    Hoya Corp. (J), 2010, A2243748, 40.01, 1.38, , , 1.37, 1.38, 1.37, 7.59, 13.11, , , , , 12.41, , 4.13, , 1.80389
2633, GP09-300090, European Patent    Hoya Corp. (J), 2010, A2243748, 39.72, 1.38, , , 1.36, 1.37, 6.17, 7.53, 7.54, , , , , 13.7, , 4.11, , 1.83585
2634, GP09-300091, European Patent    Hoya Corp. (J), 2010, A2243748, 40.01, 1.37, , , 1.38, 1.38, 7.58, 7.58, 6.89, , , , , 13.8, , 2.76, , 1.83588
2635, GP09-300092, European Patent    Hoya Corp. (J), 2010, A2243748, 40.28, 1.39, , , 1.4, 1.39, 6.95, 7.64, 7.63, , , , , 11.1, , 4.17, , 1.83013
2636, GP09-300093, European Patent    Hoya Corp. (J), 2010, A2243748, 39.98, 1.38, , , 1.38, 1.38, 6.2, 7.58, 7.58, , , , , 12.41, , 4.14, , 1.83893
2637, GP02-301162, Japanese Patent    Hoya Corp. (J), 2011, A046591, , , , , , , , , , , , , , , , , , 1.84079
2638, GP02-301163, Japanese Patent    Hoya Corp. (J), 2011, A046591, , , , , , , , , , , , , , , , , , 1.83987
2639, GP02-301164, Japanese Patent    Hoya Corp. (J), 2011, A046591, , , , , , , , , , , , , , , , , , 1.84042
2640, GP02-301165, Japanese Patent    Hoya Corp. (J), 2011, A046591, , , , , , , , , , , , , , , , , , 1.83953
2641, GP02-301166, Japanese Patent    Hoya Corp. (J), 2011, A046591, , , , , , , , , , , , , , , , , , 1.83998
2642, GP20-301849, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.38, , , , , 16.61, 16.55, , , , , , , , , 33.2, 1.82538
2643, GP20-301850, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , , 19.1, 16.05, , , , , , , , , 32.2, 1.8227
2644, GP20-301851, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , , 16.11, 19.04, , , , , , , , , 32.2, 1.81963
2645, GP20-301852, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , 3.0, , , 16.11, 16.05, , , , , , , , , 32.2, 1.82602
2646, GP20-301853, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 5.3, , , , , 16.11, 16.05, , , , , , , , , 32.2, 1.82192
2647, GP20-301854, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , , 16.11, 16.05, , , , , , , , , 32.2, 1.84552
2648, GP20-301855, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , , 16.11, 16.05, , , , , , , , , 32.2, 1.85067
2649, GP20-301856, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , , 16.11, 16.05, , , , , , , , , 35.2, 1.80645
2650, GP20-301857, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , , 16.11, 16.05, 3.0, , , , , , , , 32.2, 1.81703
2651, GP20-301858, Japanese Patent    Ohara Inc. (J), 2011, A121831, , 2.31, , , , 3.0, 16.11, 16.05, , , , , , , , , 32.2, 1.82615
2652, GP20-301859, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.33, 1.16, , , 5.74, 11.87, , 19.8, , , , , , , , , 28.4, 1.8195
2653, GP20-301860, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 1.5, , , 5.49, 11.98, , 19.97, , , , , , , , , 28.45, 1.8204
2654, GP20-301861, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 6.99, , , , 11.98, , 19.97, , , , , , , , , 28.45, 1.8086
2655, GP20-301862, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 6.49, , , 5.49, 6.99, , 19.97, , , , , , , , , 28.45, 1.812
2656, GP20-301863, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 11.48, , , 5.49, 2.0, , 19.97, , , , , , , , , 28.45, 1.8043
2657, GP20-301864, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 1.5, , , 5.49, 11.98, , 24.96, , , , , , , , , 23.46, 1.8279
2658, GP20-301865, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 1.5, , 4.99, 5.49, 11.98, , 19.97, , , , , , , , , 23.46, 1.8431
2659, GP20-301866, Japanese Patent    Ohara Inc. (J), 2011, A121833, 1.0, 1.5, , , 5.49, 11.98, , 19.97, , , , , , , , , 28.46, 1.8334
2660, GP20-301867, Japanese Patent    Ohara Inc. (J), 2011, A121833, , 8.49, , , , 1.5, , 26.45, , , , , , 8.99, , , 22.97, 1.8735
2661, GP20-301868, Japanese Patent    Ohara Inc. (J), 2011, A121833, , 8.49, , , , 1.5, , 26.45, , , , , , 11.98, , , 22.97, 1.8634
2662, GP02-305062, Japanese Patent    Hoya Corp. (J), 2011, A213554, , , , , , , , , , , , , , , , , , 1.83737
2663, GP02-305063, Japanese Patent    Hoya Corp. (J), 2011, A213554, , , , , , , , , , , , , , , , , , 1.83302
2664, GP02-305064, Japanese Patent    Hoya Corp. (J), 2011, A213554, , , , , , , , , , , , , , , , , , 1.8305
2665, GP02-305065, Japanese Patent    Hoya Corp. (J), 2011, A213554, , , , , , , , , , , , , , , , , , 1.82844
2666, GP02-305066, Japanese Patent    Hoya Corp. (J), 2011, A213554, , , , , , , , , , , , , , , , , , 1.82918
2667, GP02-305978, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.83737
2668, GP02-305979, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.83302
2669, GP02-305980, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.8305
2670, GP02-305981, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.82844
2671, GP02-305982, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.82918
2672, GP02-305983, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.82462
2673, GP02-305984, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.82247
2674, GP02-305985, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.82723
2675, GP02-305986, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.83647
2676, GP02-305987, US Patent    Hoya Corp. (J), 2011, A0245063, , , , , , , , , , , , , , , , , , 1.83307
2677, GP05-306281, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.83737
2678, GP05-306282, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.83302
2679, GP05-306283, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.8305
2680, GP05-306284, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.82844
2681, GP05-306285, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.82918
2682, GP05-306286, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.82462
2683, GP05-306287, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.82247
2684, GP05-306288, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.82723
2685, GP05-306289, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.83647
2686, GP05-306290, European Patent    Hoya Corp. (J), 2011, A2374764, , , , , , , , , , , , , , , , , , 1.83307
2687, GP09-312825, Japanese Patent    Hoya Corp. (J), 2013, A227216, 39.73, 1.36, , , 1.37, 6.17, 13.69, 5.47, 2.74, , , , , 10.96, , 4.11, , 1.84161
2688, GP09-312826, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.05, 1.39, , , 1.38, 4.14, 13.67, 6.22, 2.76, , , , , 11.05, , 4.15, , 1.84044
2689, GP09-312827, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.27, 1.38, , , 1.4, 2.78, 13.89, 6.94, 2.78, , , , , 11.11, , 4.17, , 1.83787
2690, GP09-312828, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.55, 1.4, , , 1.4, 1.4, 13.98, 7.69, 2.8, , , , , 11.19, , 4.2, , 1.83512
2691, GP09-312829, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.01, 1.37, , , 1.38, 1.38, 6.91, 7.58, 7.59, , , , , 12.41, , 4.13, , 1.8307
2692, GP09-312830, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.01, 1.38, , , 1.37, 1.38, 1.37, 7.59, 13.11, , , , , 12.41, , 4.13, , 1.80389
2693, GP09-312831, Japanese Patent    Hoya Corp. (J), 2013, A227216, 39.72, 1.38, , , 1.36, 1.37, 6.17, 7.53, 7.54, , , , , 13.7, , 4.11, , 1.83585
2694, GP09-312832, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.01, 1.37, , , 1.38, 1.38, 7.58, 7.58, 6.89, , , , , 13.8, , 2.76, , 1.83588
2695, GP09-312833, Japanese Patent    Hoya Corp. (J), 2013, A227216, 40.28, 1.39, , , 1.4, 1.39, 6.95, 7.64, 7.63, , , , , 11.1, , 4.17, , 1.83013
2696, GP09-312834, Japanese Patent    Hoya Corp. (J), 2013, A227216, 39.98, 1.38, , , 1.38, 1.38, 6.2, 7.58, 7.58, , , , , 12.41, , 4.14, , 1.83893
2697, GP09-312914, US Patent    Hoya Corp. (J), 2013, A8476178, 39.73, 1.36, , , 1.37, 6.17, 13.69, 5.47, 2.74, , , , , 10.96, , 4.11, , 1.84161
2698, GP09-312915, US Patent    Hoya Corp. (J), 2013, A8476178, 40.0, 1.39, , , 1.38, 4.14, 13.78, 6.21, 2.75, , , , , 11.04, , 4.14, , 1.84044
2699, GP09-312916, US Patent    Hoya Corp. (J), 2013, A8476178, 40.27, 1.38, , , 1.4, 2.78, 13.89, 6.94, 2.78, , , , , 11.11, , 4.17, , 1.83787
2700, GP09-312917, US Patent    Hoya Corp. (J), 2013, A8476178, 40.55, 1.4, , , 1.4, 1.4, 13.98, 7.69, 2.8, , , , , 11.19, , 4.2, , 1.83512
2701, GP09-312918, US Patent    Hoya Corp. (J), 2013, A8476178, 40.01, 1.37, , , 1.38, 1.38, 6.91, 7.58, 7.59, , , , , 12.41, , 4.13, , 1.8307
2702, GP09-312919, US Patent    Hoya Corp. (J), 2013, A8476178, 40.01, 1.38, , , 1.37, 1.38, 1.37, 7.59, 13.11, , , , , 12.41, , 4.13, , 1.80389
2703, GP09-312920, US Patent    Hoya Corp. (J), 2013, A8476178, 39.72, 1.38, , , 1.36, 1.37, 6.17, 7.53, 7.54, , , , , 13.7, , 4.11, , 1.83585
2704, GP09-312921, US Patent    Hoya Corp. (J), 2013, A8476178, 40.01, 1.37, , , 1.38, 1.38, 7.58, 7.58, 6.89, , , , , 13.8, , 2.76, , 1.83588
2705, GP09-312922, US Patent    Hoya Corp. (J), 2013, A8476178, 40.28, 1.39, , , 1.4, 1.39, 6.95, 7.64, 7.63, , , , , 11.1, , 4.17, , 1.83013
2706, GP09-312923, US Patent    Hoya Corp. (J), 2013, A8476178, 39.98, 1.38, , , 1.38, 1.38, 6.2, 7.58, 7.58, , , , , 12.41, , 4.14, , 1.83893
2707, GP02-312924, US Patent    Asahi Fiber Glass (J), 2013, A8476353, 71.38, 3.47, 2.37, 4.5, 7.65, , , 10.63, , , , , , , , , , 1.507
2708, GP02-312925, US Patent    Asahi Fiber Glass (J), 2013, A8476353, 70.61, 3.51, 2.4, 4.54, 9.26, , , 7.88, 1.3, , , , , , , 0.5, , 1.513
2709, GP03-312926, US Patent    Asahi Fiber Glass (J), 2013, A8476353, 57.16, 5.37, 8.56, 0.62, 25.57, , , 0.6, 0.07, , , , , , , , , 1.553
2710, GP03-314529, Japanese Patent    Nippon Electric Glass (J), 2014, A032740, 59.5, , 4.1, , 8.8, 14.2, , , , , 4.7, , 1.5, 5.2, , 2.0, , 1.638
2711, GP03-314530, Japanese Patent    Nippon Electric Glass (J), 2014, A032740, 60.0, , 4.1, , 8.8, 14.3, , , , , 4.8, , 1.8, 4.2, , 2.0, , 1.637
2712, GP03-314531, Japanese Patent    Nippon Electric Glass (J), 2014, A032740, 59.67, , 4.9, , 8.81, 14.22, , , , , 4.7, , 1.5, 4.2, , 2.0, , 1.632
2713, GP03-314533, Japanese Patent    Nippon Electric Glass (J), 2014, A032740, 61.4, , 4.1, , 7.3, 14.3, , , , , 4.8, , 1.5, 3.2, , 3.4, , 1.631
2714, GP02-315011, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.83737
2715, GP02-315012, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.83302
2716, GP02-315013, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.8305
2717, GP02-315014, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.82844
2718, GP02-315015, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.82918
2719, GP02-315016, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.82462
2720, GP02-315017, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.82247
2721, GP02-315018, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.82723
2722, GP02-315019, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.83647
2723, GP02-315020, US Patent    Hoya Corp. (J), 2014, A8647996, , , , , , , , , , , , , , , , , , 1.83307
2724, GP09-315569, Japanese Patent    Hoya Corp. (J), 2014, A125408, 31.16, 13.18, , , 6.22, 3.29, 6.14, 5.48, 0.88, 14.77, , , 1.38, 6.43, , 1.27, , 1.79246
2725, GP09-315570, Japanese Patent    Hoya Corp. (J), 2014, A125408, 25.02, 20.88, , , , 5.52, 6.33, 5.94, 1.27, 16.03, , , 1.71, 4.24, , 1.37, , 1.7937
2726, GP09-315571, Japanese Patent    Hoya Corp. (J), 2014, A125408, 30.34, 9.32, , , 7.03, 5.83, 0.59, 5.52, 1.77, 15.73, , , 1.48, 16.46, , 1.21, , 1.80088
2727, GP09-315572, Japanese Patent    Hoya Corp. (J), 2014, A125408, 29.65, 9.15, , , 7.98, 8.65, , 5.42, 1.74, 15.45, , , , 16.17, , 1.19, , 1.79305
2728, GP09-315573, Japanese Patent    Hoya Corp. (J), 2014, A125408, 25.99, 11.47, , , 8.2, 8.83, , 5.6, 1.75, 15.78, , , , 16.51, , 1.2, , 1.7984
2729, GP09-315574, Japanese Patent    Hoya Corp. (J), 2014, A125408, 27.93, 9.07, , , 8.02, 8.63, , 5.44, 1.65, 17.32, , , , 16.13, , 1.19, , 1.79575
2730, GP09-315575, Japanese Patent    Hoya Corp. (J), 2014, A125408, 29.38, 7.8, , , 7.84, 8.54, , 5.42, 1.65, 17.68, , , , 15.96, , 1.19, , 1.79788
2731, GP09-315576, Japanese Patent    Hoya Corp. (J), 2014, A125408, 25.99, 9.34, , , 8.2, 8.82, , 7.7, 1.75, 15.77, , , , 16.5, , 1.2, , 1.79483
2732, GP09-315577, Japanese Patent    Hoya Corp. (J), 2014, A125408, 26.03, 9.29, , , 8.1, 8.83, , 5.64, 3.9, 15.78, , , , 16.52, , 1.21, , 1.78779
2733, GP09-315578, Japanese Patent    Hoya Corp. (J), 2014, A125408, 25.46, 9.14, , , 12.26, 8.63, , 5.41, 1.73, 15.42, , , , 16.14, , 1.19, , 1.80214
2734, GP09-316341, US Patent    Hoya Corp. (J), 2014, A8785339, 39.73, 1.36, , , 1.37, 6.17, 13.69, 5.47, 2.74, , , , , 10.96, , 4.11, , 1.84161
2735, GP09-316342, US Patent    Hoya Corp. (J), 2014, A8785339, 40.0, 1.39, , , 1.38, 4.14, 13.78, 6.21, 2.75, , , , , 11.04, , 4.14, , 1.84044
2736, GP09-316343, US Patent    Hoya Corp. (J), 2014, A8785339, 40.27, 1.38, , , 1.4, 2.78, 13.89, 6.94, 2.78, , , , , 11.11, , 4.17, , 1.83787
2737, GP09-316344, US Patent    Hoya Corp. (J), 2014, A8785339, 40.55, 1.4, , , 1.4, 1.4, 13.98, 7.69, 2.8, , , , , 11.19, , 4.2, , 1.83512
2738, GP09-316345, US Patent    Hoya Corp. (J), 2014, A8785339, 40.01, 1.37, , , 1.38, 1.38, 6.91, 7.58, 7.59, , , , , 12.41, , 4.13, , 1.8307
2739, GP09-316346, US Patent    Hoya Corp. (J), 2014, A8785339, 40.01, 1.38, , , 1.37, 1.38, 1.37, 7.59, 13.11, , , , , 12.41, , 4.13, , 1.80389
2740, GP09-316347, US Patent    Hoya Corp. (J), 2014, A8785339, 39.72, 1.38, , , 1.36, 1.37, 6.17, 7.53, 7.54, , , , , 13.7, , 4.11, , 1.83585
2741, GP09-316348, US Patent    Hoya Corp. (J), 2014, A8785339, 40.01, 1.37, , , 1.38, 1.38, 7.58, 7.58, 6.89, , , , , 13.8, , 2.76, , 1.83588
2742, GP09-316349, US Patent    Hoya Corp. (J), 2014, A8785339, 40.28, 1.39, , , 1.4, 1.39, 6.95, 7.64, 7.63, , , , , 11.1, , 4.17, , 1.83013
2743, GP09-316350, US Patent    Hoya Corp. (J), 2014, A8785339, 39.98, 1.38, , , 1.38, 1.38, 6.2, 7.58, 7.58, , , , , 12.41, , 4.14, , 1.83893
2744, GP03-316476, US Patent    Hoya Corp. (J), 2014, A8852745, 27.89, 2.65, , , 36.29, , 3.86, , , , , , 0.71, 17.18, , 5.61, , 1.87041
2745, GP03-316477, US Patent    Hoya Corp. (J), 2014, A8852745, 30.7, 2.65, , , 25.01, 5.65, 3.86, , , , , , 0.71, 20.0, , 5.61, , 1.87993
2746, GP03-316478, US Patent    Hoya Corp. (J), 2014, A8852745, 30.73, 2.65, , , 8.05, 22.59, 3.86, , , , , , 0.71, 20.0, , 5.6, , 1.87856
2747, GP03-316479, US Patent    Hoya Corp. (J), 2014, A8852745, 30.72, 2.65, , , , 30.63, 3.87, , , , , , 0.71, 20.01, , 5.6, , 1.87698
2748, GP03-316480, US Patent    Hoya Corp. (J), 2014, A8852745, 30.7, 2.65, , , 16.52, 14.13, 3.86, , , , , , 0.71, 20.01, , 5.61, , 1.87935
2749, GP03-316481, US Patent    Hoya Corp. (J), 2014, A8852745, 30.7, 2.65, , , 10.88, 19.77, 3.86, , , , , , 0.71, 20.01, , 5.61, , 1.87903
2750, GP03-316482, US Patent    Hoya Corp. (J), 2014, A8852745, 23.74, 2.76, , , 17.2, 14.71, 4.03, , , , , , 0.74, 20.83, , 5.83, , 1.94338
2751, GP03-316483, US Patent    Hoya Corp. (J), 2014, A8852745, 23.16, 2.56, , , 15.98, 13.67, 3.73, , , , , , 0.68, 32.46, , 5.42, , 1.9326
2752, GP03-316484, US Patent    Hoya Corp. (J), 2014, A8852745, 24.78, 2.74, , , 17.1, 14.62, 4.0, , , , , , 0.73, 20.7, , 5.8, , 1.93413
2753, GP03-316485, US Patent    Hoya Corp. (J), 2014, A8852745, 21.05, 2.71, , , 16.93, 14.46, 3.94, , , , , , 0.72, 26.09, , 5.74, , 1.96124
2754, GP20-320647, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.33, 1.16, , , 5.74, 11.87, , 19.8, , , , , , , , , 28.4, 1.8195
2755, GP20-320648, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 3.49, , , , 6.49, , 26.46, , , , , , 11.98, , , 22.97, 1.8719
2756, GP20-320649, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 3.49, , , 4.99, 1.5, , 26.46, , , , , , 11.98, , , 22.97, 1.8739
2757, GP20-320650, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , , , 11.98, , 19.97, , , , , , , , , 28.45, 1.8086
2758, GP20-320651, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.49, , , 5.49, 6.99, , 19.97, , , , , , , , , 28.45, 1.812
2759, GP20-320652, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 1.5, , 4.99, 5.49, 11.98, , 19.97, , , , , , , , , 23.46, 1.8431
2760, GP20-320653, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 1.5, , , 5.49, 11.98, , 19.97, , , , , , , , , 28.46, 1.8334
2761, GP20-320654, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , , 1.5, , 26.45, , , , , , 8.99, , , 22.97, 1.8735
2762, GP20-320655, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , 4.99, 1.5, , 26.46, , , , , , 6.99, , , 22.97, 1.8435
2763, GP20-320656, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 1.5, , , 5.49, 11.98, 4.99, 24.96, , , , , , , , , 18.47, 1.8401
2764, GP20-320657, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , , , 11.98, , 24.96, , , , , , , , , 23.46, 1.8147
2765, GP20-320658, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , , 8.49, , 31.44, , , , , , , , , 22.97, 1.7939
2766, GP20-320659, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , 6.99, 1.5, , 31.44, , , , , , , , , 22.97, 1.7971
2767, GP20-320660, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , , 1.5, , 36.44, , , , , , 2.0, , , 22.97, 1.7886
2768, GP20-320661, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , , 1.5, , 38.43, , , , , , , , , 22.97, 1.775
2769, GP20-320662, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , , , 11.98, , 24.96, , , , , , , , , 23.46, 1.8332
2770, GP20-320663, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , , , 11.98, , 24.96, , , , , , , , , 23.46, 1.832
2771, GP20-320664, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , 3.0, , 11.98, , 24.96, , , , , , , , , 23.46, 1.8111
2772, GP20-320665, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , , , 11.98, 3.0, 24.96, , , , , , , , , 23.46, 1.8005
2773, GP20-320666, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , , , 1.5, , 31.44, , , , , , , , , 26.96, 1.8026
2774, GP20-320667, Japanese Patent    Ohara Inc. (J), 2011, A140434, 1.0, 6.99, , , , 11.98, , 25.96, , , , , , , , , 23.46, 1.8243
2775, GP20-320668, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 8.49, , 5.99, , 1.5, , 31.45, , , , , , , , , 23.96, 1.79
2776, GP20-320669, Japanese Patent    Ohara Inc. (J), 2011, A140434, , 5.49, , 3.0, , 1.5, 3.0, 31.44, , , , , , , , , 26.96, 1.7839
2777, GP03-342744, US Patent    Nippon Electric Glass (J), 2013, AW008876, 59.5, , 4.1, , 8.8, 14.2, , , , , 4.7, , 1.5, 5.2, , 2.0, , 1.638
2778, GP03-342745, US Patent    Nippon Electric Glass (J), 2013, AW008876, 60.0, , 4.1, , 8.8, 14.3, , , , , 4.8, , 1.8, 4.2, , 2.0, , 1.637
2779, GP03-342746, US Patent    Nippon Electric Glass (J), 2013, AW008876, 59.67, , 4.9, , 8.81, 14.22, , , , , 4.7, , 1.5, 4.2, , 2.0, , 1.636
2780, GP03-342748, US Patent    Nippon Electric Glass (J), 2013, AW008876, 61.4, , 4.1, , 7.3, 14.3, , , , , 4.8, , 1.5, 3.2, , 3.4, , 1.631
2781, GJ40-343023, J. American Ceramic Soc., 2021, v. 104  p. 003963, , , , , , , , , , , , , 61.0, , , , , 2.145
2782, GJ40-343024, J. American Ceramic Soc., 2021, v. 104  p. 003963, , , , , , , , , , , , , 55.77, , , , , 2.1209
2783, GJ40-343025, J. American Ceramic Soc., 2021, v. 104  p. 003963, , , , , , , , , , , , , 51.4, , , , , 2.1045
2784, GJ40-343026, J. American Ceramic Soc., 2021, v. 104  p. 003963, , , , , , , , , , , , , 35.54, , , , , 2.0097
2785, GJ40-343027, J. American Ceramic Soc., 2021, v. 104  p. 003963, , , 7.0, , , , , , , , , , 63.0, , , , , 2.0954
