Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
78, GB07-012591, Handbook of Glass Properties, 1986, v. 001  p. 0592, 54.0, , , , , 10.0, , , , 36.0, , , , , , , , 1.633
79, GB07-012592, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 10.0, , , , 38.0, , , , , , , , 1.64
80, GB07-012593, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 10.0, , , , 42.0, , , , , , , , 1.654
81, GB07-012594, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 8.0, , , , 42.0, , , , , , , , 1.647
82, GB07-012595, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 6.0, , , , 42.0, , , , , , , , 1.638
83, GB03-012785, Handbook of Glass Properties, 1986, v. 001  p. 0596, 64.0, , 6.0, , , 30.0, , , , , , , , , , , , 1.604
84, GB03-012786, Handbook of Glass Properties, 1986, v. 001  p. 0596, 62.0, , 6.0, , , 32.0, , , , , , , , , , , , 1.609
85, GB03-012787, Handbook of Glass Properties, 1986, v. 001  p. 0596, 60.0, , 6.0, , , 34.0, , , , , , , , , , , , 1.612
86, GB03-012788, Handbook of Glass Properties, 1986, v. 001  p. 0596, 58.0, , 6.0, , , 36.0, , , , , , , , , , , , 1.625
87, GB03-012789, Handbook of Glass Properties, 1986, v. 001  p. 0596, 56.0, , 6.0, , , 38.0, , , , , , , , , , , , 1.628
88, GB03-012790, Handbook of Glass Properties, 1986, v. 001  p. 0596, 54.0, , 6.0, , , 40.0, , , , , , , , , , , , 1.632
89, GB03-012791, Handbook of Glass Properties, 1986, v. 001  p. 0596, 58.0, , 8.0, , , 34.0, , , , , , , , , , , , 1.617
90, GB03-012792, Handbook of Glass Properties, 1986, v. 001  p. 0596, 56.0, , 8.0, , , 36.0, , , , , , , , , , , , 1.621
91, GB03-012793, Handbook of Glass Properties, 1986, v. 001  p. 0596, 54.0, , 8.0, , , 38.0, , , , , , , , , , , , 1.625
92, GB03-012794, Handbook of Glass Properties, 1986, v. 001  p. 0596, 50.0, , 8.0, , , 42.0, , , , , , , , , , , , 1.639
93, GB03-012795, Handbook of Glass Properties, 1986, v. 001  p. 0596, 62.0, , 10.0, , , 28.0, , , , , , , , , , , , 1.591
94, GB03-012796, Handbook of Glass Properties, 1986, v. 001  p. 0596, 52.0, , 10.0, , , 38.0, , , , , , , , , , , , 1.628
95, GB03-012797, Handbook of Glass Properties, 1986, v. 001  p. 0596, 50.0, , 10.0, , , 40.0, , , , , , , , , , , , 1.626
96, GB03-012798, Handbook of Glass Properties, 1986, v. 001  p. 0596, 48.0, , 10.0, , , 42.0, , , , , , , , , , , , 1.633
97, GB03-012799, Handbook of Glass Properties, 1986, v. 001  p. 0596, 52.0, , 12.0, , , 36.0, , , , , , , , , , , , 1.62
98, GB03-012800, Handbook of Glass Properties, 1986, v. 001  p. 0596, 48.0, , 12.0, , , 40.0, , , , , , , , , , , , 1.633
99, GB03-012801, Handbook of Glass Properties, 1986, v. 001  p. 0596, 46.0, , 14.0, , , 40.0, , , , , , , , , , , , 1.633
100, GB03-012802, Handbook of Glass Properties, 1986, v. 001  p. 0596, 44.0, , 14.0, , , 42.0, , , , , , , , , , , , 1.644
101, GB03-012815, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 28.0, , , , , , , 2.0, , , , , 1.607
102, GB03-012816, Handbook of Glass Properties, 1986, v. 001  p. 0597, 68.0, , , , , 30.0, , , , , , , 2.0, , , , , 1.614
103, GB03-012817, Handbook of Glass Properties, 1986, v. 001  p. 0597, 65.0, , , , , 33.0, , , , , , , 2.0, , , , , 1.625
104, GB03-012818, Handbook of Glass Properties, 1986, v. 001  p. 0597, 63.0, , , , , 35.0, , , , , , , 2.0, , , , , 1.635
105, GB03-012819, Handbook of Glass Properties, 1986, v. 001  p. 0597, 60.0, , , , , 38.0, , , , , , , 2.0, , , , , 1.643
106, GB03-012820, Handbook of Glass Properties, 1986, v. 001  p. 0597, 72.0, , , , , 23.0, , , , , , , 5.0, , , , , 1.617
107, GB03-012821, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 25.0, , , , , , , 5.0, , , , , 1.628
108, GB03-012822, Handbook of Glass Properties, 1986, v. 001  p. 0597, 67.0, , , , , 28.0, , , , , , , 5.0, , , , , 1.64
109, GB03-012823, Handbook of Glass Properties, 1986, v. 001  p. 0597, 62.0, , , , , 33.0, , , , , , , 5.0, , , , , 1.658
110, GB03-012824, Handbook of Glass Properties, 1986, v. 001  p. 0597, 60.0, , , , , 35.0, , , , , , , 5.0, , , , , 1.663
111, GB03-012825, Handbook of Glass Properties, 1986, v. 001  p. 0597, 58.0, , , , , 37.0, , , , , , , 5.0, , , , , 1.673
112, GB03-012826, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 23.0, , , , , , , 7.0, , , , , 1.641
