,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,nd
73,0.6755,0.1034,0.1092,0.0162,0.0875,0.0021,0.0,0.0,0.0,0.0,0.0056999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51
74,0.775,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499
75,0.7131000000000001,0.0808,0.0398,0.0,0.0,0.0,0.0605999999999999,0.0454,0.0332,0.0115,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,1.516
76,0.6324000000000001,0.1942,0.0567999999999999,0.0,0.0,0.0,0.0538,0.0,0.0579999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492
77,0.625,0.275,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.489
78,0.6539,0.087,0.0078,0.0141,0.1052,0.0,0.0,0.1278999999999999,0.0019,0.0,0.0018,0.0,0.0,0.0,7.628000000000001e-05,0.0,0.0,0.0,1.5323
79,0.0783,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0797,0.1951,0.0139,0.0,0.0966,0.0,1.80399
80,0.5446,0.0052,0.0,0.042,0.042,0.0,0.0734,0.2069,0.0419,0.0,0.0,0.0,0.0,0.0325,0.0,0.0,0.0053,0.0,1.58
81,0.1803,0.4886,0.1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398,0.1107,0.0,0.0,0.0,0.0,1.65
82,0.1,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65
83,0.6248,0.0731,0.0,0.0,0.0681,0.0378,0.0639,0.0924,0.0358,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,1.5483
84,0.4622,0.2571,0.0363,0.0153,0.0,0.0,0.1033,0.0996,0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3005,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4994,1.509
86,0.615,0.0,0.034,0.0,0.086,0.157,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.008,0.0409999999999999,0.0,0.02,0.0,1.63
87,0.5988,0.0,0.025,0.0,0.0998,0.0,0.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.567
88,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.25,1.8680000000000003
89,0.3822,0.0683,0.0311,0.0,0.1483,0.1291,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0644,0.0,0.0154,0.0,1.7011
90,0.4173,0.0763,0.0,0.0,0.0,0.12,0.0306999999999999,0.0,0.0,0.1383,0.0883,0.0,0.0,0.0388,0.0515,0.0,0.0379,0.0,1.72
91,0.6813,0.0735,0.0501999999999999,0.0,0.0304,0.0,0.0,0.0,0.0,0.0,0.1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53
92,0.47,0.0040999999999999,0.0,0.0,0.0983,0.2096,0.0,0.0015,0.0,0.0034999999999999,0.0,0.0,0.0,0.0306,0.1226,0.0146,0.0317,0.0,1.76
93,0.0,0.0,0.0409,0.0,0.0372,0.034,0.0523,0.0,0.0,0.3843,0.0,0.0,0.0,0.0,0.0653,0.001,0.0,0.385,1.6194
